City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,pedregulho,-20.2569,-47.4767,17.73,64,82,1.77,BR,1690257539
291,siocon,7.7061,122.1353,28.18,79,86,9.07,PH,1690257650
292,richards bay,-28.783,32.0377,13.78,77,44,1.26,ZA,1690257838
293,nagqu,31.5,92.0,7.56,81,100,1.96,CN,1690257838
294,east london,-33.0153,27.9116,5.52,93,0,1.54,ZA,1690257633
295,port alfred,-33.5906,26.891,10.38,69,0,2.56,ZA,1690257839
296,sola,-13.8833,167.55,25.87,85,32,3.07,VU,1690257839
297,joinville,-26.3044,-48.8456,17.21,92,15,0.63,BR,1690257982
298,santo andre,-23.6639,-46.5383,18.96,67,0,1.03,BR,1690257663
299,ta`u,-14.2336,-169.5144,25.73,72,21,6.44,AS,1690257840
300,diego de almagro,-26.3667,-70.05,12.1,65,61,0.1,CL,1690257840
301,al majaridah,19.1236,41.9111,34.77,20,86,0.91,SA,1690257840
302,potosi,-19.5836,-65.7531,4.42,16,0,2.45,BO,1690257840
303,taltal,-25.4,-70.4833,14.51,87,26,0.64,CL,1690257698
304,kodungallur,10.2167,76.2167,24.0,82,100,2.29,IN,1690257840
305,akureyri,65.6835,-18.0878,7.96,100,100,3.09,IS,1690257841
306,amahai,-3.3333,128.9167,25.63,79,84,6.14,ID,1690257841
307,kamiiso,41.8167,140.65,26.21,83,75,7.72,JP,1690257841
308,lihue,21.9789,-159.3672,28.58,83,100,7.2,US,1690257841
309,cortina d'ampezzo,46.5384,12.1377,12.72,98,87,0.81,IT,1690257842
310,tevriz,57.509,72.4042,17.8,84,99,3.77,RU,1690257842
311,suva,-18.1416,178.4415,23.71,83,75,2.06,FJ,1690257655
312,kone,-21.0595,164.8658,22.88,51,98,6.58,NC,1690257842
313,manggar,-2.8833,108.2667,29.24,69,51,5.59,ID,1690257843
314,jian'ou,27.0469,118.3253,34.95,45,100,0.94,CN,1690257843
315,inhambane,-23.865,35.3833,20.99,77,40,6.26,MZ,1690257494
316,alesund,62.4723,6.1549,14.95,89,75,7.2,NO,1690257558
317,chengde,40.9725,117.9361,31.43,47,15,1.03,CN,1690257733
318,san martin de los andes,-40.1604,-71.3486,1.47,98,100,1.62,AR,1690257844
319,punta del este,-34.9667,-54.95,11.6,87,0,3.13,UY,1690257742
320,yaren,-0.5472,166.916,29.18,72,41,4.09,NR,1690257844
321,oppdal,62.5943,9.6912,11.38,87,100,1.76,NO,1690257845
322,lianjiang,21.6467,110.2817,32.01,58,74,1.35,CN,1690257845
323,egilsstadir,65.2653,-14.3948,5.95,87,100,2.57,IS,1690257845
324,bamboo flat,11.7,92.7167,30.05,74,40,4.12,IN,1690257847
325,temiskaming shores,47.4938,-79.7153,13.89,73,72,0.87,CA,1690257717
326,alaghsas,17.0187,8.0168,28.05,55,72,3.77,NE,1690257848
327,tolanaro,-25.0319,46.9987,18.04,88,20,5.14,MG,1690257848
328,chibougamau,49.9168,-74.3659,15.79,94,100,1.49,CA,1690257722
329,kargopol',61.5071,38.9456,11.97,95,98,2.68,RU,1690257849
330,kalghatgi,15.1833,74.9667,22.62,96,100,4.99,IN,1690257849
331,zhalantun,48.0,122.7167,26.48,66,100,2.46,CN,1690257850
332,broumov,50.5857,16.3318,16.83,100,100,2.84,CZ,1690257850
333,timimoun,29.2639,0.231,33.21,8,21,4.12,DZ,1690257850
334,volksrust,-27.3654,29.8818,3.03,95,85,1.1,ZA,1690257851
335,vila franca do campo,37.7167,-25.4333,21.23,88,36,1.95,PT,1690257851
336,alta,69.9689,23.2717,12.59,81,75,4.47,NO,1690257851
337,hadibu,12.65,54.0333,25.52,74,94,10.89,YE,1690257655
338,saiki,32.95,131.9,29.81,71,27,4.91,JP,1690257852
339,borkum,53.5809,6.6915,14.97,70,40,8.36,DE,1690257852
340,maintirano,-18.0667,44.0167,21.08,83,64,4.39,MG,1690257852
341,dryden,49.7833,-92.7503,20.16,60,0,3.09,CA,1690257852
342,ulsteinvik,62.3432,5.8487,14.95,88,100,7.15,NO,1690257853
343,yanta,36.2411,115.6672,34.92,50,3,2.43,CN,1690257853
344,tanjungtiram,4.0613,98.3699,31.21,58,37,0.53,ID,1690257853
345,slave lake,55.2834,-114.769,16.99,88,100,4.12,CA,1690257854
346,floro,61.5996,5.0328,13.98,88,75,5.14,NO,1690257854
347,igrim,63.1906,64.4162,19.56,68,100,2.93,RU,1690257854
348,horta,38.5333,-28.6333,21.12,85,28,2.68,PT,1690257855
349,zaio,34.9428,-2.7329,25.99,30,55,1.46,MA,1690257855
350,skelleftea,64.7507,20.9528,11.2,100,100,2.57,SE,1690257781
351,vorgashor,67.5833,63.95,19.87,65,83,2.96,RU,1690257855
352,ibiza,38.9088,1.433,27.34,86,20,3.58,ES,1690257580
353,ulanhot,46.0833,122.0833,27.63,59,45,2.46,CN,1690257856
354,duong dong,10.2167,103.9667,28.0,83,40,4.12,VN,1690257856
355,tianpeng,30.9866,103.9393,30.26,74,100,0.98,CN,1690257856
356,nemuro,43.3236,145.575,20.2,89,20,3.74,JP,1690257694
357,tanjung pinang,0.9167,104.45,31.02,65,60,5.1,ID,1690257857
358,esquel,-42.9,-71.3167,2.08,98,96,0.87,AR,1690257857
359,alappuzha,9.49,76.3264,26.67,78,84,3.96,IN,1690257857
360,alofi,-19.0595,-169.9187,23.94,64,40,3.09,NU,1690257858
361,punganuru,13.3667,78.5833,22.46,78,100,9.79,IN,1690257858
